FM1318orthoCBS1513,Scerevisiae
XP_018218959.1,Q02863
XP_018220933.1,P14164
XP_018221491.1,P40466
XP_018222510.1,P43568
XP_018220253.1,P16862
XP_018220990.1,P32801
XP_018223788.1,P41810
XP_018218866.1,P41816
XP_018220150.1,Q04305
XP_018221668.1,Q12016
XP_018221263.1,P47039
XP_018219460.1,P53549
XP_018223014.1,P21954
XP_018222961.1,P25693
XP_018219255.1,Q12314
XP_018222506.1,P43564
XP_018221393.1,P0CX26
XP_018221509.1,P40479
XP_018219609.1,P32074
XP_018224041.1,P56508
XP_018223380.1,P25348
XP_018220641.1,Q05958
XP_018219878.1,P40344
XP_018220475.1,P06169
XP_018221189.1,P47007
XP_018220293.1,Q3E846
XP_018222601.1,P39979
XP_018219208.1,P38737
XP_018223299.1,P38348
XP_018224026.1,Q12263
XP_018222975.1,Q12277
XP_018224106.1,P34111
XP_018223929.1,Q04172
XP_018220474.1,P22217
XP_018223358.1,P11710
XP_018220338.1,Q03533
XP_018222819.1,P10355
XP_018223202.1,P32590
XP_018219668.1,P53538
XP_018219515.1,Q12096
XP_018219368.1,Q99325
XP_018222847.1,P10127
XP_018220043.1,Q03718
XP_018223098.1,P38237
XP_018223214.1,P38298
XP_018221269.1,P47045
XP_018220957.1,P36077
XP_018219252.1,Q99248
XP_018221158.1,P46984
XP_018222672.1,P33331
XP_018223484.1,P38041
XP_018222954.1,P23594
XP_018221913.1,P38837
XP_018222130.1,P53139
XP_018220961.1,P31412
XP_018223059.1,P40327
XP_018220663.1,O13574
XP_018221030.1,P43682
XP_018222352.1,P48234
XP_018221648.1,Q12068
XP_018219200.1,P38731
XP_018220148.1,P32832
XP_018219183.1,P14020
XP_018220073.1,Q03687
XP_018220635.1,Q05946
XP_018220002.1,Q04636
XP_018223197.1,P38116
XP_018221517.1,P40486
XP_018222631.1,P23301
XP_018223407.1,P25357
XP_018221032.1,P36106
XP_018222901.1,P32448
XP_018220326.1,Q03263
XP_018219582.1,P42841
XP_018222651.1,P39994
XP_018219434.1,Q12206
XP_018220886.1,P05986
XP_018218911.1,P33419
XP_018220760.1,Q05933
XP_018220537.1,Q08300
XP_018221937.1,P38854
XP_018219774.1,P13382
XP_018220621.1,Q05787
XP_018219888.1,P32897
XP_018223962.1,P33329
XP_018220034.1,P06778
XP_018222277.1,P53241
XP_018222832.1,P21269
XP_018220513.1,P32802
XP_018221391.1,P45976
XP_018223724.1,P89102
XP_018221743.1,Q08217
XP_018220192.1,P39110
XP_018221092.1,P33550
XP_018218998.1,P41338
XP_018221440.1,P47173
XP_018222100.1,P53119
XP_018223944.1,Q12743
XP_018222058.1,P39938
XP_018222606.1,P27895
XP_018222233.1,P53206
XP_018219413.1,Q08622
XP_018219594.1,P48558
XP_018219766.1,P28000
XP_018223992.1,Q03327
XP_018221428.1,P32906
XP_018219223.1,P38701
XP_018223999.1,P40993
XP_018223966.1,Q04089
XP_018221007.1,P36101
XP_018219524.1,P15801
XP_018219349.1,Q12375
XP_018223716.1,P13663
XP_018220069.1,P50105
XP_018220249.1,P28519
XP_018224046.1,Q04430
XP_018221294.1,P09938
XP_018222584.1,P43620
XP_018219672.1,P40151
XP_018219422.1,Q12282
XP_018220307.1,P38426
XP_018224028.1,Q12306
XP_018220120.1,P25298
XP_018219641.1,P36528
XP_018223360.1,P25376
XP_018223914.1,Q06405
XP_018222197.1,P53189
XP_018221109.1,Q02046
XP_018223181.1,P38280
XP_018221977.1,P38886
XP_018218992.1,Q03083
XP_018221560.1,P40186
XP_018220850.1,P12866
XP_018223604.1,Q04341
XP_018222045.1,P09620
XP_018219754.1,P53917
XP_018220204.1,Q03792
XP_018220830.1,P12684
XP_018219599.1,P48562
XP_018224094.1,P31383
XP_018220796.1,Q06078
XP_018219435.1,Q12363
XP_018220700.1,Q05902
XP_018223625.1,Q12025
XP_018222321.1,P53265
XP_018221540.1,P40509
XP_018222628.1,P32626
XP_018221025.1,Q03702
XP_018221894.1,P38716
XP_018220265.1,P38625
XP_018222050.1,P53094
XP_018218920.1,P32873
XP_018220690.1,Q05881
XP_018221747.1,Q08208
XP_018219117.1,Q06104
XP_018223639.1,Q12497
XP_018220483.1,Q12345
XP_018219335.1,Q99394
XP_018222580.1,P43616
XP_018223619.1,Q04311
XP_018223109.1,P38085
XP_018223867.1,P32609
XP_018223273.1,P38332
XP_018221221.1,P42946
XP_018223891.1,Q06328
XP_018220077.1,P54781
XP_018218942.1,P41921
XP_018223257.1,P38326
XP_018218878.1,Q99373
XP_018220817.1,Q06672
XP_018219811.1,P25491
XP_018223936.1,P21595
XP_018220356.1,P32337
XP_018220232.1,Q12751
XP_018223128.1,P38251
XP_018220807.1,Q06409
XP_018221687.1,P13902
XP_018220368.1,P40988
XP_018219417.1,P39683
XP_018221126.1,P10963
XP_018222874.1,Q07657
XP_018220009.1,P33441
XP_018218948.1,P48415
XP_018221377.1,P32458
XP_018219134.1,P45978
XP_018221367.1,P40413
XP_018222828.1,P32657
XP_018221872.1,P38805
XP_018219581.1,P42833
XP_018223308.1,P36526
XP_018223803.1,P15202
XP_018220067.1,Q03673
XP_018223227.1,P38306
XP_018223862.1,Q06677
XP_018222958.1,P01098
XP_018223207.1,P38123
XP_018222322.1,P53266
XP_018223237.1,P38310
XP_018223849.1,Q06644
XP_018223131.1,P32830
XP_018219407.1,P32875
XP_018221507.1,P40477
XP_018221912.1,Q9P305
XP_018221961.1,P38872
XP_018223055.1,P32828
XP_018221771.1,Q08110
XP_018223144.1,P38265
XP_018219760.1,P07213
XP_018223677.1,P40316
XP_018221122.1,P32901
XP_018222728.1,P40039
XP_018222296.1,P53252
XP_018218869.1,Q12467
XP_018222698.1,P40021
XP_018220512.1,Q12020
XP_018223522.1,P38064
XP_018220914.1,P36000
XP_018220897.1,P36057
XP_018220202.1,P28625
XP_018222668.1,P39937
XP_018221305.1,P47077
XP_018221409.1,P47147
XP_018221844.1,P38787
XP_018223173.1,P38109
XP_018221063.1,P36123
XP_018218892.1,P35844
XP_018220714.1,Q06162
XP_018221073.1,P36134
XP_018219916.1,P53739
XP_018223871.1,P52286
XP_018220013.1,Q6Q5K6
XP_018223255.1,P38138
XP_018220934.1,P34253
XP_018220324.1,Q03254
XP_018219807.1,P41813
XP_018223148.1,Q01976
XP_018221266.1,P47042
XP_018221238.1,P47027
XP_018219478.1,Q12192
XP_018219966.1,Q03760
XP_018221009.1,P36102
XP_018222987.1,Q12191
XP_018220612.1,P21304
XP_018219745.1,P53911
XP_018224115.1,P27637
XP_018220491.1,P15624
XP_018223773.1,Q04930
XP_018220560.1,Q12098
XP_018223049.1,Q12451
XP_018223124.1,P18238
XP_018219964.1,P54786
XP_018219054.1,Q12311
XP_018223035.1,Q07350
XP_018221680.1,P53632
XP_018222539.1,P43588
XP_018221562.1,P40527
XP_018221249.1,P47035
XP_018220413.1,Q12164
XP_018219328.1,Q12166
XP_018221202.1,P47015
XP_018222068.1,P46945
XP_018222666.1,P40008
XP_018223229.1,P38131
XP_018219859.1,P32588
XP_018223242.1,P15807
XP_018219199.1,Q04432
XP_018221046.1,Q02208
XP_018222143.1,P38932
XP_018220538.1,Q12259
XP_018222222.1,P53198
XP_018222049.1,P53093
XP_018223558.1,P02294
XP_018222052.1,P33892
XP_018221077.1,P36138
XP_018222561.1,P43605
XP_018220288.1,Q02554
XP_018221116.1,P36163
XP_018219512.1,P32798
XP_018223156.1,P07253
XP_018221384.1,P47131
XP_018219027.1,P53394
XP_018222531.1,P07560
XP_018219946.1,Q03104
XP_018222275.1,P53239
XP_018222873.1,P35197
XP_018221017.1,Q3E7A7
XP_018222241.1,P53212
XP_018223991.1,Q03323
XP_018219612.1,P36520
XP_018219481.1,Q12040
XP_018220125.1,Q04748
XP_018220518.1,P39012
XP_018220243.1,Q04329
XP_018223811.1,P39010
XP_018223845.1,Q06639
XP_018222221.1,P53197
XP_018222696.1,P38555
XP_018222534.1,P25808
XP_018219729.1,P23292
XP_018219489.1,Q12697
XP_018221868.1,P13574
XP_018219019.1,Q12200
XP_018221764.1,Q08162
XP_018224011.1,Q03407
XP_018220447.1,P43132
XP_018219675.1,P40154
XP_018220425.1,Q12287
XP_018219474.1,P07884
XP_018219166.1,P06780
XP_018219057.1,Q12406
XP_018220301.1,Q04839
XP_018220007.1,P38987
XP_018223174.1,P18963
XP_018224091.1,P31380
XP_018221734.1,P22768
XP_018223963.1,Q04082
XP_018222876.1,Q07653
XP_018222175.1,P53172
XP_018222007.1,P53062
XP_018219088.1,Q12514
XP_018219380.1,Q99321
XP_018220397.1,Q07879
XP_018218863.1,P32363
XP_018221447.1,P39709
XP_018220510.1,P13181
XP_018222169.1,P53167
XP_018221828.1,P38775
XP_018220082.1,P50264
XP_018222678.1,P39518
XP_018223959.1,Q01560
XP_018218994.1,Q03088
XP_018219688.1,P40165
XP_018222069.1,P46946
XP_018221805.1,P38707
XP_018221313.1,P47083
XP_018218889.1,Q12036
XP_018221130.1,P21691
XP_018218873.1,Q12083
XP_018219709.1,P53882
XP_018219150.1,Q06522
XP_018223369.1,P25555
XP_018219715.1,Q02100
XP_018223925.1,P17121
XP_018222240.1,P39111
XP_018219567.1,Q08904
XP_018220604.1,P33310
XP_018219676.1,P40155
XP_018220857.1,P36002
XP_018222579.1,P43615
XP_018219540.1,P24720
XP_018222234.1,P53207
XP_018220677.1,Q06152
XP_018222362.1,P39927
XP_018221766.1,Q08157
XP_018220572.1,Q2V2P1
XP_018221597.1,P43581
XP_018222553.1,P43598
XP_018220544.1,Q12186
XP_018223858.1,Q06668
XP_018223392.1,P25618
XP_018221704.1,Q12180
XP_018224093.1,P31374
XP_018222018.1,P07244
XP_018221702.1,Q12411
XP_018220175.1,P38009
XP_018222568.1,P05747
XP_018219631.1,P21951
XP_018221019.1,P34243
XP_018220317.1,P30402
XP_018219568.1,Q08905
XP_018223596.1,Q12099
XP_018220463.1,Q07978
XP_018223371.1,P25605
XP_018220130.1,Q04767
XP_018223978.1,P15454
XP_018220915.1,P35999
XP_018219108.1,Q06089
XP_018220026.1,Q04712
XP_018223861.1,Q06676
XP_018222797.1,P39939
XP_018223367.1,P25558
XP_018220151.1,P35203
XP_018223931.1,Q04175
XP_018221681.1,Q12322
XP_018222811.1,P40088
XP_018221995.1,P52923
XP_018220274.1,Q05016
XP_018221196.1,P26725
XP_018219686.1,P32573
XP_018223399.1,P25345
XP_018221808.1,P11914
XP_018220624.1,P24871
XP_018222214.1,P25338
XP_018221245.1,P80428
XP_018223341.1,P25380
XP_018220725.1,Q02721
XP_018221807.1,P08964
XP_018221548.1,P32844
XP_018221946.1,O13539
XP_018223655.1,P33304
XP_018220704.1,P37297
XP_018222918.1,Q12257
XP_018219707.1,P05750
XP_018221380.1,P47127
XP_018219041.1,Q12495
XP_018221630.1,P40577
XP_018219467.1,Q08732
XP_018222036.1,Q02793
XP_018221569.1,P40531
XP_018219358.1,Q12386
XP_018223234.1,P38308
XP_018222622.1,P32617
XP_018220414.1,Q12373
XP_018219603.1,P48566
XP_018221424.1,P47161
XP_018218901.1,Q03028
XP_018219654.1,Q01532
XP_018219362.1,Q99216
XP_018219820.1,P38590
XP_018221259.1,P22353
XP_018224053.1,P39714
XP_018223856.1,Q06665
XP_018222897.1,Q12009
XP_018223581.1,P38219
XP_018222416.1,P53304
XP_018221306.1,P47079
XP_018218980.1,P29547
XP_018221085.1,P36022
XP_018221426.1,P47163
XP_018223256.1,P38325
XP_018222324.1,P23615
XP_018223335.1,P25583
XP_018220045.1,P12887
XP_018219781.1,P53932
XP_018223288.1,P38339
XP_018222303.1,P22204
XP_018223835.1,P24276
XP_018222834.1,P26364
XP_018219118.1,P07703
XP_018222313.1,P53260
XP_018221652.1,Q12146
XP_018222088.1,P18898
XP_018220610.1,Q05777
XP_018221841.1,P38784
XP_018219125.1,Q06116
XP_018223280.1,P32570
XP_018219793.1,P14242
XP_018220888.1,Q03178
XP_018218975.1,Q02799
XP_018223376.1,P25565
XP_018219665.1,P53865
XP_018221231.1,P40857
XP_018223008.1,Q07457
XP_018223563.1,P38211
XP_018219034.1,P22138
XP_018221989.1,Q08347
XP_018223675.1,O13329
XP_018219994.1,Q03631
XP_018221094.1,P36146
XP_018218816.1,Q08971
XP_018221703.1,P25847
XP_018221171.1,P46995
XP_018218961.1,Q02866
XP_018221096.1,P00431
XP_018220821.1,P57743
XP_018222924.1,P26370
XP_018223792.1,P35056
XP_018219840.1,P53962
XP_018222421.1,P50077
XP_018222998.1,Q3E7B7
XP_018223823.1,Q05636
XP_018223776.1,P07170
XP_018223459.1,P0CY13
XP_018221418.1,P47156
XP_018222395.1,P06775
XP_018221257.1,P40364
XP_018223674.1,P46944
XP_018223493.1,P0CX40
XP_018220118.1,Q04675
XP_018221552.1,P40517
XP_018219079.1,Q12350
XP_018218812.1,Q99395
XP_018220696.1,P32835
XP_018219452.1,Q08686
XP_018222283.1,P48412
XP_018219130.1,P49573
XP_018223379.1,P25342
XP_018221934.1,P38852
XP_018219385.1,P13188
XP_018223948.1,Q04048
XP_018219025.1,P43635
XP_018221501.1,P40474
XP_018220941.1,P14904
XP_018220615.1,P52553
XP_018222453.1,P32379
XP_018219284.1,Q08444
XP_018221753.1,P48525
XP_018221857.1,P38796
XP_018223317.1,P38152
XP_018219319.1,Q12274
XP_018221624.1,P40574
XP_018219305.1,Q12067
XP_018222786.1,P40074
XP_018219554.1,P52960
XP_018223902.1,P40968
XP_018220719.1,P53769
XP_018222774.1,P40065
XP_018223787.1,P36519
XP_018219503.1,Q08774
XP_018223177.1,P12385
XP_018223961.1,Q04081
XP_018222196.1,P53188
XP_018222864.1,P19881
XP_018220593.1,P48743
XP_018219983.1,Q04511
XP_018223824.1,Q05637
XP_018222172.1,P53170
XP_018222092.1,P53115
XP_018222041.1,P34164
XP_018220969.1,P36088
XP_018223284.1,P38145
XP_018222443.1,P53312
XP_018220815.1,P50095
XP_018221036.1,Q02196
XP_018218840.1,Q08955
XP_018219406.1,Q08581
XP_018223195.1,P38374
XP_018223486.1,P38179
XP_018218753.1,Q07748
XP_018220102.1,Q04210
XP_018221150.1,P39542
XP_018218818.1,Q08969
XP_018220791.1,Q06058
XP_018222480.1,P53337
XP_018223103.1,P38238
XP_018219732.1,P17890
XP_018222176.1,P21147
XP_018220185.1,Q04223
XP_018223036.1,P06700
XP_018220143.1,Q04279
XP_018224005.1,P39904
XP_018220659.1,P39931
XP_018220753.1,Q12129
XP_018219527.1,P47988
XP_018220799.1,Q06688
XP_018221556.1,P40522
XP_018222946.1,Q07589
XP_018222776.1,Q03825
XP_018223488.1,P33893
XP_018222460.1,P46682
XP_018219164.1,P34167
XP_018219142.1,P53390
XP_018222939.1,Q12136
XP_018219900.1,P32838
XP_018219798.1,P53940
XP_018220171.1,P38011
XP_018220905.1,P35718
XP_018221406.1,P47145
XP_018219180.1,Q06624
XP_018221113.1,P32769
XP_018223990.1,Q03322
XP_018222610.1,P39983
XP_018219543.1,Q08817
XP_018222748.1,P40053
XP_018219928.1,P50277
XP_018221930.1,P17123
XP_018222965.1,P25037
XP_018222472.1,P53330
XP_018221684.1,Q12285
XP_018220198.1,P40218
XP_018221072.1,P19145
XP_018220330.1,P23796
XP_018220066.1,Q03667
XP_018221199.1,P47013
XP_018223010.1,Q07451
XP_018222347.1,P32504
XP_018223066.1,P32356
XP_018220762.1,P40319
XP_018222979.1,P40990
XP_018222574.1,P43610
XP_018222829.1,P04147
XP_018221103.1,P36154
XP_018220679.1,Q06216
XP_018223685.1,Q04603
XP_018221425.1,P46974
XP_018220665.1,Q06146
XP_018223018.1,Q07381
XP_018219359.1,P53598
XP_018219070.1,Q12527
XP_018220450.1,Q12445
XP_018224070.1,P13365
XP_018219657.1,P32259
XP_018220166.1,Q04458
XP_018220860.1,P07236
XP_018222981.1,P43124
XP_018222549.1,P43595
XP_018219024.1,Q12341
XP_018220219.1,Q03212
XP_018222794.1,P40080
XP_018221206.1,Q3E828
XP_018220250.1,P32352
XP_018223120.1,P35177
XP_018220361.1,P40308
XP_018220495.1,Q99382
XP_018222120.1,P53131
XP_018222237.1,P53209
XP_018219531.1,P10964
XP_018222860.1,P35688
XP_018222213.1,P21243
XP_018222337.1,P53277
XP_018219477.1,P06174
XP_018222973.1,Q07528
XP_018219996.1,P38911
XP_018220977.1,P33749
XP_018222146.1,P52920
XP_018220458.1,Q01590
XP_018222414.1,P42942
XP_018219290.1,P36025
XP_018222033.1,P53083
XP_018221926.1,P32899
XP_018221210.1,P47017
XP_018221607.1,P40561
XP_018219639.1,P53850
XP_018223887.1,Q05518
XP_018222108.1,P53125
XP_018218898.1,Q03012
XP_018222796.1,P39959
XP_018221185.1,P11986
XP_018221901.1,P38827
XP_018220071.1,P39105
XP_018223167.1,P38090
XP_018222479.1,P53336
XP_018220705.1,P52491
XP_018221697.1,P27680
XP_018222635.1,P39988
XP_018220764.1,Q05937
XP_018220196.1,P40215
XP_018220962.1,P32364
XP_018223489.1,P38181
XP_018219673.1,P40152
XP_018220742.1,Q06479
XP_018222086.1,P53111
XP_018220981.1,P32774
XP_018220971.1,Q02629
XP_018222378.1,P53039
XP_018223723.1,Q03774
XP_018221873.1,P28007
XP_018221693.1,Q99393
XP_018219874.1,P32907
XP_018219637.1,P53848
XP_018219237.1,P38755
XP_018218749.1,Q08906
XP_018223946.1,P16151
XP_018220533.1,Q08045
XP_018219598.1,P48561
XP_018219216.1,P23179
XP_018223736.1,P21734
XP_018219171.1,P0C5R9
XP_018221546.1,P40513
XP_018219627.1,P39104
XP_018220312.1,Q03516
XP_018222798.1,P32634
XP_018223673.1,Q04562
XP_018221824.1,P38772
XP_018220995.1,P36094
XP_018221611.1,P40565
XP_018219973.1,P38427
XP_018220271.1,P50102
XP_018223200.1,P38291
XP_018220027.1,P32796
XP_018220662.1,Q06568
XP_018221219.1,P42944
XP_018222593.1,P36087
XP_018223276.1,P32449
XP_018222333.1,P53273
XP_018221049.1,P36018
XP_018220200.1,Q02795
XP_018221286.1,P47057
XP_018220789.1,Q06053
XP_018222838.1,P32643
XP_018221762.1,P25038
XP_018218970.1,Q02783
XP_018219151.1,Q06523
XP_018223637.1,P54858
XP_018223830.1,Q05533
XP_018222320.1,P53264
XP_018222614.1,Q02197
XP_018220774.1,Q06707
XP_018219771.1,P50942
XP_018219206.1,P29453
XP_018222721.1,Q3E7B0
XP_018219311.1,P36017
XP_018223366.1,P25559
XP_018221870.1,Q00539
XP_018222777.1,P40069
XP_018221666.1,Q08270
XP_018221510.1,P40480
XP_018223502.1,P34225
XP_018219077.1,P32331
XP_018224043.1,Q04429
XP_018222106.1,P0CX44
XP_018220044.1,P49435
XP_018223601.1,Q12071
XP_018221890.1,P38817
XP_018221166.1,P39005
XP_018223719.1,Q03771
XP_018221347.1,P0CS90
XP_018218944.1,Q12224
XP_018221592.1,P12630
XP_018221671.1,P22133
XP_018219692.1,P40168
XP_018221638.1,P40578
XP_018222428.1,P32566
XP_018221363.1,P17106
XP_018220437.1,Q04673
XP_018220285.1,Q05029
XP_018222408.1,P07245
XP_018218926.1,Q02873
XP_018219831.1,P53959
XP_018223233.1,P38132
XP_018224076.1,P39731
XP_018222339.1,P53279
XP_018219518.1,P54885
XP_018224017.1,P30605
XP_018222713.1,P39955
XP_018219861.1,P53978
XP_018222392.1,P48362
XP_018220006.1,P54784
XP_018220104.1,P07249
XP_018222694.1,P40018
XP_018220065.1,P32562
XP_018223326.1,P25593
XP_018221439.1,P47172
XP_018222712.1,P40031
XP_018220818.1,Q06673
XP_018219419.1,P32266
XP_018218853.1,Q08926
XP_018221566.1,P40529
XP_018223798.1,P37304
XP_018220594.1,Q06251
XP_018222737.1,Q01217
XP_018221810.1,P23968
XP_018220930.1,P28708
XP_018219163.1,P54791
XP_018220920.1,P36069
XP_018218964.1,Q02754
XP_018219700.1,P53873
XP_018223526.1,P38198
XP_018219912.1,P32377
XP_018221694.1,Q12236
XP_018219558.1,P48589
XP_018222074.1,P45819
XP_018221057.1,P36118
XP_018219803.1,P53942
XP_018218865.1,P21592
XP_018220667.1,P19882
XP_018220152.1,Q03144
XP_018222266.1,P53234
XP_018219968.1,P29478
XP_018222499.1,P43561
XP_018218968.1,Q02776
XP_018221168.1,P27614
XP_018222529.1,P32908
XP_018218803.1,P46683
XP_018220642.1,P19073
XP_018221053.1,P36114
XP_018220584.1,Q06244
XP_018221222.1,P32581
XP_018221848.1,P38790
XP_018222285.1,Q00723
XP_018223223.1,P38304
XP_018219785.1,P53935
XP_018220112.1,P46671
XP_018218747.1,Q08908
XP_018220417.1,P04802
XP_018221427.1,P47164
XP_018220653.1,Q01662
XP_018219035.1,A5Z2X5
XP_018223534.1,P0CX82
XP_018222147.1,P53150
XP_018221778.1,Q08054
XP_018224078.1,P28005
XP_018220244.1,Q04336
XP_018219516.1,P47190
XP_018219259.1,P26449
XP_018220553.1,Q12395
XP_018222056.1,P32799
XP_018223643.1,P31688
XP_018222477.1,P53049
XP_018220958.1,P17505
XP_018222123.1,P26309
XP_018221123.1,Q02455
XP_018223987.1,P38904
XP_018221437.1,P31116
XP_018223152.1,P07702
XP_018220931.1,P22936
XP_018222021.1,P53074
XP_018220650.1,Q06538
XP_018222476.1,P53335
XP_018222509.1,P43567
XP_018222863.1,Q07716
XP_018221576.1,P13517
XP_018222515.1,P43573
XP_018223051.1,Q12403
XP_018220392.1,Q03048
XP_018221729.1,Q08226
XP_018223071.1,P40317
XP_018218950.1,Q02825
XP_018219910.1,P53736
XP_018219244.1,P38704
XP_018223184.1,P38281
XP_018219325.1,Q12057
XP_018220147.1,Q04304
XP_018220412.1,P10592
XP_018222265.1,P53233
XP_018223211.1,P38125
XP_018224082.1,P39734
XP_018220855.1,P32600
XP_018220626.1,P53378
XP_018220822.1,P36517
XP_018220403.1,Q07844
XP_018222886.1,Q02774
XP_018220401.1,P32523
XP_018220501.1,P19263
XP_018219271.1,P38930
XP_018220534.1,P16658
XP_018223087.1,P38230
XP_018219457.1,Q08693
XP_018220732.1,P05317
XP_018221718.1,Q08234
XP_018223761.1,Q03466
XP_018222151.1,P53153
XP_018219194.1,Q06593
XP_018223995.1,Q03338
XP_018220918.1,P36068
XP_018220580.1,Q12338
XP_018223329.1,P25591
XP_018222912.1,P48569
XP_018222654.1,Q08974
XP_018221822.1,P38771
XP_018221650.1,P50875
XP_018219210.1,P38739
XP_018221739.1,P89113
XP_018222153.1,P53009
XP_018221138.1,P32800
XP_018219816.1,P53947
XP_018219733.1,P53903
XP_018220974.1,P35723
XP_018223583.1,P38070
XP_018223989.1,Q03306
XP_018223100.1,P38080
XP_018221557.1,P40523
XP_018222244.1,P53217
XP_018223373.1,Q3E7B6
XP_018222825.1,P40096
XP_018220090.1,Q04372
XP_018220163.1,Q04438
XP_018220879.1,P36029
XP_018223402.1,P25378
XP_018224014.1,Q03430
XP_018220832.1,P11972
XP_018223254.1,P38324
XP_018219902.1,P37254
XP_018224097.1,P31373
XP_018219243.1,P87108
XP_018222588.1,P32496
XP_018222345.1,P53283
XP_018220358.1,Q04867
XP_018221382.1,P47129
XP_018219642.1,P53617
XP_018220853.1,P36040
XP_018221399.1,P47140
XP_018219564.1,P07262
XP_018219779.1,P50947
XP_018221931.1,P17122
XP_018222359.1,P13856
XP_018222374.1,P53294
XP_018222139.1,P53146
XP_018224069.1,P11433
XP_018220922.1,P12688
XP_018224122.1,P35845
XP_018219267.1,P51534
XP_018219614.1,P53833
XP_018223935.1,Q04179
XP_018223396.1,Q9URQ5
XP_018220346.1,Q04949
XP_018219548.1,Q02516
XP_018222508.1,P41546
XP_018222330.1,P53272
XP_018218919.1,Q02959
XP_018221528.1,P40497
XP_018222926.1,P32771
XP_018219344.1,P41735
XP_018223892.1,P29509
XP_018220827.1,P32366
XP_018220713.1,Q06160
XP_018223248.1,P38318
XP_018219740.1,P53909
XP_018219773.1,P32389
XP_018220851.1,P36038
XP_018221673.1,Q12463
XP_018224087.1,P31382
XP_018222270.1,P53237
XP_018221716.1,Q08235
XP_018219450.1,Q08683
XP_018223334.1,P25584
XP_018221319.1,P20459
XP_018223359.1,Q96VH4
XP_018219042.1,P30665
XP_018222170.1,P11154
XP_018222431.1,P50085
XP_018222710.1,P29467
XP_018219545.1,P41913
XP_018221972.1,P38882
XP_018222016.1,P06774
XP_018220042.1,P02407
XP_018219348.1,Q99222
XP_018223230.1,P29366
XP_018220161.1,P37012
XP_018223620.1,P00942
XP_018221496.1,P32597
XP_018220812.1,Q06440
XP_018219297.1,Q92331
XP_018218939.1,P21825
XP_018219366.1,Q12487
XP_018221846.1,P38712
XP_018218925.1,Q02872
XP_018223909.1,Q06389
XP_018221654.1,Q08287
XP_018219119.1,P32328
XP_018223814.1,Q05583
XP_018222261.1,P53230
XP_018222883.1,P33327
XP_018223649.1,Q3E7C1
XP_018219690.1,P34761
XP_018221283.1,P47054
XP_018219667.1,P53867
XP_018219411.1,P06633
XP_018222782.1,Q01684
XP_018220816.1,P23287
XP_018221302.1,P47074
XP_018223351.1,P25369
XP_018221334.1,P47101
XP_018220428.1,P41800
XP_018221482.1,P38928
XP_018219804.1,P12695
XP_018221732.1,Q12296
XP_018221074.1,P36135
XP_018223268.1,P38142
XP_018221209.1,P46959
XP_018223252.1,P38321
XP_018221301.1,P39077
XP_018221783.1,Q12442
XP_018223264.1,P38330
XP_018222258.1,P53227
XP_018221162.1,P46988
XP_018223523.1,P38065
XP_018220609.1,Q05776
XP_018220709.1,Q06704
XP_018221746.1,Q08213
XP_018223188.1,P33313
XP_018222787.1,P40075
XP_018221797.1,P38903
XP_018223078.1,P23833
XP_018222538.1,P43587
XP_018224116.1,P27616
XP_018220481.1,Q12155
XP_018223567.1,P02309
XP_018220303.1,P08468
XP_018223840.1,P09457
XP_018221737.1,Q12161
XP_018219047.1,P32795
XP_018221958.1,P38870
XP_018222111.1,Q01163
XP_018220394.1,P32386
XP_018218824.1,Q08965
XP_018223687.1,P26798
XP_018223540.1,P36775
XP_018224035.1,Q04410
XP_018223964.1,Q04083
XP_018220294.1,P47912
XP_018221855.1,P38713
XP_018222051.1,P53095
XP_018223041.1,P19736
XP_018221787.1,P25036
XP_018221674.1,Q99383
XP_018221925.1,P32904
XP_018218999.1,Q02651
XP_018223796.1,Q03786
XP_018218849.1,Q3E823
XP_018222454.1,P00924
XP_018222532.1,P43585
XP_018223543.1,P32319
XP_018223056.1,Q12438
XP_018220283.1,P11745
XP_018222203.1,P43633
XP_018221591.1,P40548
XP_018219982.1,Q02773
XP_018219486.1,Q12404
XP_018223507.1,P34219
XP_018224015.1,P23643
XP_018221215.1,P32447
XP_018219324.1,P46964
XP_018222982.1,P43122
XP_018218899.1,Q03016
XP_018223290.1,P38341
XP_018219432.1,Q12276
XP_018222691.1,P08456
XP_018220178.1,Q03880
XP_018219061.1,Q12284
XP_018219574.1,P42835
XP_018219918.1,P53604
XP_018220426.1,P32892
XP_018224063.1,P39723
XP_018219605.1,P41821
XP_018220828.1,P05739
XP_018220875.1,P34237
XP_018220549.1,Q12303
XP_018221853.1,P38604
XP_018223710.1,P19262
XP_018221793.1,Q12218
XP_018222685.1,P10823
XP_018219768.1,P53927
XP_018222587.1,P43621
XP_018220262.1,P25303
XP_018220213.1,P32567
XP_018222842.1,P25453
XP_018221883.1,P38813
XP_018219959.1,Q03750
XP_018223691.1,P08566
XP_018223817.1,Q05584
XP_018221433.1,P57744
XP_018219979.1,Q04493
XP_018222457.1,P53320
XP_018223950.1,Q04049
XP_018222730.1,P39525
XP_018219736.1,P53906
XP_018220311.1,Q03508
XP_018218940.1,Q02892
XP_018222808.1,P22134
XP_018219932.1,P53749
XP_018219256.1,Q12204
XP_018219671.1,P53868
XP_018221117.1,P36164
XP_018220586.1,P05759
XP_018222677.1,P40012
XP_018219526.1,P22023
